Word,Confusability,Frequency,Length,NumNeighbors,CV
Q-AH1,0.775332160472,13.8903935155,2,10,V
Q-EY1,0.920411099794,5.58349630878,2,10,V
Q-AA1,0.949866418312,9.48971301656,2,10,V
Q-AY1,0.985461755001,14.5317197541,2,10,V
Q-OW1,0.960149187173,12.1232343672,2,10,V
Q-AO1,0.609472463947,7.70210434005,2,10,V
Q-IY1,0.419724948393,8.26719218593,2,10,V
Q-EH1,0.930322889692,7.87054784451,2,10,V
Q-ER1,0.974410144899,7.58375630071,2,10,V
Q-OY1,0.968099218449,5.74300318781,2,10,V
Q-UW1,0.926272304349,8.48198043566,2,10,V
Q-EY1-EY1,0.994864268278,4.46590811865,3,6,VV
Q-ER1-EY1,0.997672060739,4.68213122712,3,6,VV
Q-AW1-ER1,0.997973262163,11.2860499586,3,6,VV
Q-ER1-AY1,0.993232780763,3.33220451018,3,6,VV
Q-IY1-AH1,0.996554666816,3.04452243772,3,6,VV
Q-AY1-OW1,0.999977884269,2.63905732962,3,6,VV
Q-OY1-ER1,0.778774614993,1.09861228867,3,6,VV
Q-T-R-IH1-P-AH1-L-EY1,0.999997812062,3.21887582487,8,106,CCVCVCV
Q-B-Y-UW1-T-IH1-F-AY1,0.999999999988,2.07944154168,8,106,CCVCVCV
Q-B-L-UW1-B-EH1-R-IY1,0.999999989023,4.8751973232,8,106,CCVCVCV
Q-B-R-AA1-CH-EH1-R-OW1,0.999999991652,2.30258509299,8,106,CCVCVCV
Q-B-R-AE1-S-AH1-R-IY1,0.999999644493,1.60943791243,8,106,CCVCVCV
Q-B-R-AH1-V-AA1-D-OW1,0.999999931945,3.17805383035,8,106,CCVCVCV
Q-B-R-EY1-K-AH1-W-EY1,0.999999995348,3.52636052462,8,106,CCVCVCV
Q-B-R-EH1-V-AH1-T-IY1,0.964321681058,2.3978952728,8,106,CCVCVCV
Q-B-R-AA1-K-AH1-L-IY1,0.999997920326,4.75359019111,8,106,CCVCVCV
