Word,Confusability,Frequency,Length,NumNeighbors,CV
Q-AH1,0.73101042066,13.8903935155,2,10,V
Q-EY1,0.908396698956,5.58349630878,2,10,V
Q-AA1,0.406774321298,9.48971301656,2,10,V
Q-AY1,0.987382562378,14.5317197541,2,10,V
Q-OW1,0.957898072901,12.1232343672,2,10,V
Q-AO1,0.564761014435,7.70210434005,2,10,V
Q-IY1,0.877694039872,8.26719218593,2,10,V
Q-EH1,0.855351163996,7.87054784451,2,10,V
Q-ER1,0.979767218397,7.58375630071,2,10,V
Q-OY1,0.968099218449,5.74300318781,2,10,V
Q-UW1,0.929144103635,8.48198043566,2,10,V
Q-EY1-EY1,0.99486421023,4.46590811865,3,6,VV
Q-ER1-EY1,0.997672060739,4.68213122712,3,6,VV
Q-AW1-ER1,0.997993937801,11.2860499586,3,6,VV
Q-ER1-AY1,0.993232780763,3.33220451018,3,6,VV
Q-IY1-AH1,0.9981041291,3.04452243772,3,6,VV
Q-AY1-OW1,0.999977888678,2.63905732962,3,6,VV
Q-OY1-ER1,0.778774614993,1.09861228867,3,6,VV
Q-T-R-IH1-P-AH1-L-EY1,0.968111144554,3.21887582487,8,106,CCVCVCV
Q-B-Y-UW1-T-IH1-F-AY1,0.999999999955,2.07944154168,8,106,CCVCVCV
Q-B-L-UW1-B-EH1-R-IY1,0.999999989319,4.8751973232,8,106,CCVCVCV
Q-B-R-AA1-CH-EH1-R-OW1,0.999999999999,2.30258509299,8,106,CCVCVCV
Q-B-R-AE1-S-AH1-R-IY1,0.999999998309,1.60943791243,8,106,CCVCVCV
Q-B-R-AH1-V-AA1-D-OW1,0.999999733535,3.17805383035,8,106,CCVCVCV
Q-B-R-EY1-K-AH1-W-EY1,0.999999995014,3.52636052462,8,106,CCVCVCV
Q-B-R-EH1-V-AH1-T-IY1,0.996692295991,2.3978952728,8,106,CCVCVCV
Q-B-R-AA1-K-AH1-L-IY1,0.999998966752,4.75359019111,8,106,CCVCVCV
Q-B-R-AH1-DH-ER1-L-IY1,0.999999315248,3.76120011569,8,106,CCVCVCV
Q-B-R-UW1-HH-AA1-HH-AA1,0.99999992278,2.3978952728,8,106,CCVCVCV
Q-B-R-UW1-T-AH1-L-IY1,0.999961816717,4.52178857705,8,106,CCVCVCV
Q-K-L-EH1-R-AH1-F-AY1,0.99996345866,4.73619844839,8,106,CCVCVCV
Q-K-L-EH1-R-AH1-T-IY1,0.999999990295,4.67282883446,8,106,CCVCVCV
Q-K-L-AE1-S-AH1-F-AY1,0.999999721973,3.4657359028,8,106,CCVCVCV
Q-K-L-EH1-V-ER1-L-IY1,0.999999750426,3.80666248977,8,106,CCVCVCV
Q-K-R-EY1-Z-AH1-L-IY1,0.999999817843,1.60943791243,8,106,CCVCVCV
Q-K-R-EH1-D-AH1-T-ER1,0.973074378204,1.94591014906,8,106,CCVCVCV
Q-K-R-AO1-S-OW1-V-ER1,0.99999993663,2.99573227355,8,106,CCVCVCV
Q-K-R-AA1-CH-AH1-T-IY1,0.999999828398,2.56494935746,8,106,CCVCVCV
Q-K-R-UW1-S-AH1-F-AY1,0.999994079012,4.70953020131,8,106,CCVCVCV
Q-K-R-UW1-S-EY1-D-ER1,0.999999965428,4.04305126783,8,106,CCVCVCV
Q-K-R-AY1-B-EY1-B-IY1,0.999999996366,4.20469261939,8,106,CCVCVCV
Q-K-W-IY1-D-AE1-D-OW1,1.0,2.63905732962,8,106,CCVCVCV
