Word,Confusability,Frequency,Length,NumNeighbors,CV
Q-AH1,0.99996968494,13.8903935155,2,10,V
Q-EY1,0.924680919783,5.58349630878,2,10,V
Q-AA1,0.627323618216,9.48971301656,2,10,V
Q-AY1,0.987096081169,14.5317197541,2,10,V
Q-OW1,0.957898072901,12.1232343672,2,10,V
Q-AO1,0.628265520105,7.70210434005,2,10,V
Q-IY1,0.942876034323,8.26719218593,2,10,V
Q-EH1,0.945100486538,7.87054784451,2,10,V
Q-ER1,0.982969476952,7.58375630071,2,10,V
Q-OY1,0.971593823891,5.74300318781,2,10,V
Q-UW1,0.961066272275,8.48198043566,2,10,V
Q-EY1-EY1,0.994864231338,4.46590811865,3,6,VV
Q-ER1-EY1,0.997672053805,4.68213122712,3,6,VV
Q-AW1-ER1,0.998000143717,11.2860499586,3,6,VV
Q-ER1-AY1,0.99323277438,3.33220451018,3,6,VV
Q-IY1-AH1,0.999999815094,3.04452243772,3,6,VV
Q-AY1-OW1,0.999977879861,2.63905732962,3,6,VV
Q-OY1-ER1,0.77877463182,1.09861228867,3,6,VV
Q-T-R-IH1-P-AH1-L-EY1,0.97946853664,3.21887582487,8,106,CCVCVCV
Q-B-Y-UW1-T-IH1-F-AY1,1.0,2.07944154168,8,106,CCVCVCV
Q-B-L-UW1-B-EH1-R-IY1,1.0,4.8751973232,8,106,CCVCVCV
Q-B-R-AA1-CH-EH1-R-OW1,1.0,2.30258509299,8,106,CCVCVCV
Q-B-R-AE1-S-AH1-R-IY1,0.999999897599,1.60943791243,8,106,CCVCVCV
Q-B-R-AH1-V-AA1-D-OW1,0.999999899425,3.17805383035,8,106,CCVCVCV
Q-B-R-EY1-K-AH1-W-EY1,0.999999995257,3.52636052462,8,106,CCVCVCV
Q-B-R-EH1-V-AH1-T-IY1,0.999997932948,2.3978952728,8,106,CCVCVCV
Q-B-R-AA1-K-AH1-L-IY1,0.999999947829,4.75359019111,8,106,CCVCVCV
Q-B-R-AH1-DH-ER1-L-IY1,0.999999999995,3.76120011569,8,106,CCVCVCV
Q-B-R-UW1-HH-AA1-HH-AA1,0.999999999994,2.3978952728,8,106,CCVCVCV
