Word,Confusability,Frequency,Length,NumNeighbors,CV
Q-AH1,0.963056749979,13.8903935155,2,10,V
Q-EY1,0.924680919783,5.58349630878,2,10,V
Q-AA1,0.469743334585,9.48971301656,2,10,V
Q-AY1,0.985784632539,14.5317197541,2,10,V
Q-OW1,0.736064468869,12.1232343672,2,10,V
Q-AO1,0.589269337185,7.70210434005,2,10,V
Q-IY1,0.942876034323,8.26719218593,2,10,V
Q-EH1,0.93301641302,7.87054784451,2,10,V
Q-ER1,0.976091528736,7.58375630071,2,10,V
Q-OY1,0.966330493943,5.74300318781,2,10,V
Q-UW1,0.929025602497,8.48198043566,2,10,V
Q-EY1-EY1,0.994864231338,4.46590811865,3,6,VV
Q-ER1-EY1,0.997672053805,4.68213122712,3,6,VV
Q-AW1-ER1,0.998000141067,11.2860499586,3,6,VV
Q-ER1-AY1,0.993232771638,3.33220451018,3,6,VV
Q-IY1-AH1,0.999976911529,3.04452243772,3,6,VV
Q-AY1-OW1,0.999565297078,2.63905732962,3,6,VV
Q-OY1-ER1,0.778774617234,1.09861228867,3,6,VV
Q-T-R-IH1-P-AH1-L-EY1,0.979468535028,3.21887582487,8,106,CCVCVCV
Q-B-Y-UW1-T-IH1-F-AY1,1.0,2.07944154168,8,106,CCVCVCV
Q-B-L-UW1-B-EH1-R-IY1,0.999999999989,4.8751973232,8,106,CCVCVCV
Q-B-R-AA1-CH-EH1-R-OW1,0.999999999999,2.30258509299,8,106,CCVCVCV
Q-B-R-AE1-S-AH1-R-IY1,0.999999897372,1.60943791243,8,106,CCVCVCV
Q-B-R-AH1-V-AA1-D-OW1,0.999999377983,3.17805383035,8,106,CCVCVCV
Q-B-R-EY1-K-AH1-W-EY1,0.999999995255,3.52636052462,8,106,CCVCVCV
Q-B-R-EH1-V-AH1-T-IY1,0.964366612782,2.3978952728,8,106,CCVCVCV
Q-B-R-AA1-K-AH1-L-IY1,0.999999784663,4.75359019111,8,106,CCVCVCV
Q-B-R-AH1-DH-ER1-L-IY1,0.999999998558,3.76120011569,8,106,CCVCVCV
Q-B-R-UW1-HH-AA1-HH-AA1,0.999999894103,2.3978952728,8,106,CCVCVCV
Q-B-R-UW1-T-AH1-L-IY1,0.999962608602,4.52178857705,8,106,CCVCVCV
Q-K-L-EH1-R-AH1-F-AY1,0.999946836648,4.73619844839,8,106,CCVCVCV
Q-K-L-EH1-R-AH1-T-IY1,0.999999977508,4.67282883446,8,106,CCVCVCV
Q-K-L-AE1-S-AH1-F-AY1,0.999999440302,3.4657359028,8,106,CCVCVCV
Q-K-L-EH1-V-ER1-L-IY1,0.999999999942,3.80666248977,8,106,CCVCVCV
Q-K-R-EY1-Z-AH1-L-IY1,0.999999711806,1.60943791243,8,106,CCVCVCV
Q-K-R-EH1-D-AH1-T-ER1,0.973074375935,1.94591014906,8,106,CCVCVCV
Q-K-R-AO1-S-OW1-V-ER1,0.999999749236,2.99573227355,8,106,CCVCVCV
Q-K-R-AA1-CH-AH1-T-IY1,0.999995682345,2.56494935746,8,106,CCVCVCV
Q-K-R-UW1-S-AH1-F-AY1,0.999999995343,4.70953020131,8,106,CCVCVCV
