Word,Confusability,Frequency,Length,NumNeighbors,CV
Q-AH1,0.768336490357,13.8903935155,2,10,V
Q-EY1,0.930418481459,5.58349630878,2,10,V
Q-AA1,0.457306939616,9.48971301656,2,10,V
Q-AY1,0.990532240635,14.5317197541,2,10,V
Q-OW1,0.959759251146,12.1232343672,2,10,V
Q-AO1,0.586288719186,7.70210434005,2,10,V
Q-IY1,0.953569963171,8.26719218593,2,10,V
Q-EH1,0.940288858605,7.87054784451,2,10,V
Q-ER1,0.999943688858,7.58375630071,2,10,V
Q-OY1,0.968099218449,5.74300318781,2,10,V
Q-UW1,0.927463220338,8.48198043566,2,10,V
Q-EY1-EY1,0.999997447239,4.46590811865,3,6,VV
Q-ER1-EY1,0.997669823509,4.68213122712,3,6,VV
Q-AW1-ER1,0.998000146343,11.2860499586,3,6,VV
Q-ER1-AY1,0.993232839176,3.33220451018,3,6,VV
Q-IY1-AH1,0.999969399126,3.04452243772,3,6,VV
Q-AY1-OW1,0.999999965305,2.63905732962,3,6,VV
Q-OY1-ER1,0.778774631767,1.09861228867,3,6,VV
Q-T-R-IH1-P-AH1-L-EY1,0.979468536112,3.21887582487,8,106,CCVCVCV
Q-B-Y-UW1-T-IH1-F-AY1,0.999999999988,2.07944154168,8,106,CCVCVCV
Q-B-L-UW1-B-EH1-R-IY1,0.999999989122,4.8751973232,8,106,CCVCVCV
Q-B-R-AA1-CH-EH1-R-OW1,0.999999999988,2.30258509299,8,106,CCVCVCV
Q-B-R-AE1-S-AH1-R-IY1,0.99999989758,1.60943791243,8,106,CCVCVCV
Q-B-R-AH1-V-AA1-D-OW1,0.99999983525,3.17805383035,8,106,CCVCVCV
Q-B-R-EY1-K-AH1-W-EY1,0.999999995255,3.52636052462,8,106,CCVCVCV
Q-B-R-EH1-V-AH1-T-IY1,0.964367601085,2.3978952728,8,106,CCVCVCV
Q-B-R-AA1-K-AH1-L-IY1,0.999999935548,4.75359019111,8,106,CCVCVCV
Q-B-R-AH1-DH-ER1-L-IY1,0.999999988164,3.76120011569,8,106,CCVCVCV
Q-B-R-UW1-HH-AA1-HH-AA1,0.999999924045,2.3978952728,8,106,CCVCVCV
Q-B-R-UW1-T-AH1-L-IY1,0.999962651356,4.52178857705,8,106,CCVCVCV
Q-K-L-EH1-R-AH1-F-AY1,0.99994683665,4.73619844839,8,106,CCVCVCV
Q-K-L-EH1-R-AH1-T-IY1,0.999999977814,4.67282883446,8,106,CCVCVCV
Q-K-L-AE1-S-AH1-F-AY1,0.999999440302,3.4657359028,8,106,CCVCVCV
