Word,Confusability,Frequency,Length,NumNeighbors,CV
Q-AH1,0.796455931945,13.8903935155,2,10,V
Q-EY1,0.785116927437,5.58349630878,2,10,V
Q-AA1,0.420853861744,9.48971301656,2,10,V
Q-AY1,0.962163048356,14.5317197541,2,10,V
Q-OW1,0.912631867329,12.1232343672,2,10,V
Q-AO1,0.534174255583,7.70210434005,2,10,V
Q-IY1,0.891019153002,8.26719218593,2,10,V
Q-EH1,0.881219185998,7.87054784451,2,10,V
Q-ER1,0.962225296782,7.58375630071,2,10,V
Q-OY1,0.937825194594,5.74300318781,2,10,V
Q-UW1,0.861382767719,8.48198043566,2,10,V
Q-EY1-EY1,0.988849348553,4.46590811865,3,6,VV
Q-ER1-EY1,0.993382426375,4.68213122712,3,6,VV
Q-AW1-ER1,0.998433580157,11.2860499586,3,6,VV
Q-ER1-AY1,0.899051383001,3.33220451018,3,6,VV
Q-IY1-AH1,0.999555073661,3.04452243772,3,6,VV
Q-AY1-OW1,0.999476282578,2.63905732962,3,6,VV
Q-OY1-ER1,0.774708657489,1.09861228867,3,6,VV
Q-T-R-IH1-P-AH1-L-EY1,0.987328144212,3.21887582487,8,106,CCVCVCV
Q-B-Y-UW1-T-IH1-F-AY1,0.999999997235,2.07944154168,8,106,CCVCVCV
Q-B-L-UW1-B-EH1-R-IY1,0.999998518809,4.8751973232,8,106,CCVCVCV
Q-B-R-AA1-CH-EH1-R-OW1,0.999999968111,2.30258509299,8,106,CCVCVCV
Q-B-R-AE1-S-AH1-R-IY1,0.999995568033,1.60943791243,8,106,CCVCVCV
Q-B-R-AH1-V-AA1-D-OW1,0.99881925446,3.17805383035,8,106,CCVCVCV
Q-B-R-EY1-K-AH1-W-EY1,0.999996457901,3.52636052462,8,106,CCVCVCV
Q-B-R-EH1-V-AH1-T-IY1,0.967076316888,2.3978952728,8,106,CCVCVCV
Q-B-R-AA1-K-AH1-L-IY1,0.99907777674,4.75359019111,8,106,CCVCVCV
Q-B-R-AH1-DH-ER1-L-IY1,0.999987296709,3.76120011569,8,106,CCVCVCV
Q-B-R-UW1-HH-AA1-HH-AA1,0.999995144806,2.3978952728,8,106,CCVCVCV
Q-B-R-UW1-T-AH1-L-IY1,0.99891880035,4.52178857705,8,106,CCVCVCV
Q-K-L-EH1-R-AH1-F-AY1,0.999735955715,4.73619844839,8,106,CCVCVCV
Q-K-L-EH1-R-AH1-T-IY1,0.999516475608,4.67282883446,8,106,CCVCVCV
Q-K-L-AE1-S-AH1-F-AY1,0.999924840175,3.4657359028,8,106,CCVCVCV
Q-K-L-EH1-V-ER1-L-IY1,0.999971522644,3.80666248977,8,106,CCVCVCV
Q-K-R-EY1-Z-AH1-L-IY1,0.999812024816,1.60943791243,8,106,CCVCVCV
Q-K-R-EH1-D-AH1-T-ER1,0.607150445956,1.94591014906,8,106,CCVCVCV
Q-K-R-AO1-S-OW1-V-ER1,0.999992627317,2.99573227355,8,106,CCVCVCV
Q-K-R-AA1-CH-AH1-T-IY1,0.999608468206,2.56494935746,8,106,CCVCVCV
Q-K-R-UW1-S-AH1-F-AY1,0.999999808586,4.70953020131,8,106,CCVCVCV
Q-K-R-UW1-S-EY1-D-ER1,0.999960511172,4.04305126783,8,106,CCVCVCV
Q-K-R-AY1-B-EY1-B-IY1,0.99944881652,4.20469261939,8,106,CCVCVCV
Q-K-W-IY1-D-AE1-D-OW1,0.999999997141,2.63905732962,8,106,CCVCVCV
Q-K-Y-UW1-R-AE1-R-EY1,0.999999710547,2.30258509299,8,106,CCVCVCV
Q-K-Y-UH1-R-EY1-T-ER1,0.999972150832,3.85014760171,8,106,CCVCVCV
Q-F-L-AO1-R-AH1-D-AH1,0.999995467031,6.84374994901,8,106,CCVCVCV
Q-F-L-AY1-K-AE1-CH-ER1,0.999974465105,0.69314718056,8,106,CCVCVCV
Q-F-L-AY1-P-EY1-P-ER1,0.999999589033,2.63905732962,8,106,CCVCVCV
Q-F-R-IY1-L-OW1-D-ER1,0.999998341631,2.07944154168,8,106,CCVCVCV
Q-F-R-EH1-SH-AH1-N-ER1,0.999997788238,2.99573227355,8,106,CCVCVCV
Q-G-L-AO1-K-OW1-M-AH1,0.999997916993,3.43398720449,8,106,CCVCVCV
Q-G-L-IY1-F-AH1-L-IY1,0.995440575835,1.79175946923,8,106,CCVCVCV
Q-G-L-OW1-B-AH1-L-IY1,0.99967708411,2.3978952728,8,106,CCVCVCV
Q-G-L-AO1-R-AH1-F-AY1,0.999979622901,2.94443897917,8,106,CCVCVCV
Q-G-L-AH1-T-AH1-N-IY1,0.999975310416,2.8903717579,8,106,CCVCVCV
Q-G-R-AH1-F-IY1-T-IY1,0.999889855494,4.63472898823,8,106,CCVCVCV
Q-G-R-AH1-M-ER1-S-IY1,0.999983025038,3.17805383035,8,106,CCVCVCV
Q-G-R-AH1-N-AA1-D-AH1,0.996025110492,3.58351893846,8,106,CCVCVCV
Q-G-R-AA1-N-AA1-D-OW1,0.99150498809,2.19722457734,8,106,CCVCVCV
Q-G-R-AH1-N-OW1-L-AH1,0.99915874608,3.40119738166,8,106,CCVCVCV
Q-G-R-AE1-T-AH1-F-AY1,0.999990740131,2.07944154168,8,106,CCVCVCV
Q-G-R-AE1-V-AH1-T-IY1,0.994016876764,5.86078622347,8,106,CCVCVCV
Q-G-R-IY1-D-AH1-L-IY1,0.996624916114,0.69314718056,8,106,CCVCVCV
Q-G-R-IH1-N-EY1-D-AH1,0.999999818245,3.36729582999,8,106,CCVCVCV
Q-M-Y-UW1-K-OW1-S-AH1,0.999999999803,2.56494935746,8,106,CCVCVCV
Q-M-Y-UW1-T-AH1-N-IY1,0.999988942177,4.83628190695,8,106,CCVCVCV
Q-P-L-AH1-S-IY1-B-OW1,0.999996975102,3.61091791264,8,106,CCVCVCV
Q-P-L-EY1-F-AH1-L-IY1,0.999356390683,2.07944154168,8,106,CCVCVCV
Q-P-L-UH1-R-AH1-S-IY1,0.997607668721,1.60943791243,8,106,CCVCVCV
Q-P-R-IY1-K-ER1-S-ER1,0.999999420435,1.94591014906,8,106,CCVCVCV
Q-P-R-EH1-D-AH1-T-ER1,0.897682169977,4.89783979995,8,106,CCVCVCV
Q-P-R-IY1-Z-ER1-V-ER1,0.999993178011,2.63905732962,8,106,CCVCVCV
Q-P-R-AY1-M-EH1-R-IY1,0.99997725546,6.09582456243,8,106,CCVCVCV
Q-P-R-IH1-Z-AH1-N-ER1,0.999863697796,7.07326971746,8,106,CCVCVCV
Q-P-R-AY1-V-AH1-S-IY1,0.999659946429,6.65157187359,8,106,CCVCVCV
Q-P-R-OW1-B-AH1-T-IY1,0.998437698325,1.09861228867,8,106,CCVCVCV
Q-P-R-AH1-S-IY1-JH-ER1,0.999957202035,6.71295620068,8,106,CCVCVCV
Q-P-R-AA1-S-EH1-S-ER1,0.834526692959,3.82864139649,8,106,CCVCVCV
Q-P-R-AA1-D-AH1-JH-IY1,0.997424412016,4.20469261939,8,106,CCVCVCV
Q-P-R-AH1-D-UW1-S-ER1,0.99927044297,6.45519856334,8,106,CCVCVCV
Q-P-R-AH1-F-EH1-S-ER1,0.999425446182,8.17413934343,8,106,CCVCVCV
Q-P-R-AA1-JH-AH1-N-IY1,0.992599338522,2.8903717579,8,106,CCVCVCV
Q-P-R-AH1-M-OW1-T-ER1,0.999978608516,3.93182563272,8,106,CCVCVCV
Q-P-R-AH1-P-EH1-L-ER1,0.999949924462,4.35670882669,8,106,CCVCVCV
Q-P-R-AA1-P-ER1-L-IY1,0.990418056754,6.48920493133,8,106,CCVCVCV
Q-P-R-AA1-P-ER1-T-IY1,0.99619179978,7.43720636687,8,106,CCVCVCV
Q-P-R-AA1-F-AH1-S-IY1,0.997999911433,5.77144112313,8,106,CCVCVCV
Q-P-R-OW1-T-AH1-ZH-EY1,0.999992003024,3.13549421593,8,106,CCVCVCV
Q-P-R-AH1-V-AY1-D-ER1,0.999941200532,4.3040650932,8,106,CCVCVCV
Q-P-R-AH1-V-AY1-Z-OW1,0.999377808332,2.30258509299,8,106,CCVCVCV
Q-P-R-UW1-N-EH1-L-AH1,0.999999854288,3.04452243772,8,106,CCVCVCV
Q-P-Y-UW1-B-ER1-T-IY1,0.999911998436,4.7184988713,8,106,CCVCVCV
Q-P-Y-UH1-R-AH1-F-AY1,0.999934549998,3.43398720449,8,106,CCVCVCV
Q-P-Y-UH1-R-AH1-T-IY1,0.999485710065,4.7957905456,8,106,CCVCVCV
Q-K-W-AA1-L-AH1-F-AY1,0.999975545828,5.34233425196,8,106,CCVCVCV
Q-K-W-AA1-L-AH1-T-IY1,0.99963663826,6.85329909319,8,106,CCVCVCV
Q-K-W-EH1-R-IY1-D-AH1,0.999999975265,2.19722457734,8,106,CCVCVCV
Q-S-K-AA1-L-ER1-L-IY1,0.999997774791,3.09104245336,8,106,CCVCVCV
Q-S-L-IY1-P-AH1-L-IY1,0.996774703322,0.69314718056,8,106,CCVCVCV
Q-S-L-IY1-P-OW1-V-ER1,0.999998198433,4.3040650932,8,106,CCVCVCV
Q-S-L-AA1-P-AH1-L-IY1,0.999119444739,1.09861228867,8,106,CCVCVCV
Q-S-P-AH1-G-EH1-T-IY1,0.999999535111,5.71042701737,8,106,CCVCVCV
Q-S-P-AE1-CH-UH1-L-AH1,0.999999352772,4.02535169074,8,106,CCVCVCV
Q-S-P-EH1-SH-AH1-L-IY1,0.999990531598,5.1416635565,8,106,CCVCVCV
Q-S-P-EH1-S-AH1-F-AY1,0.999995393381,3.82864139649,8,106,CCVCVCV
Q-S-P-IY1-D-AH1-L-IY1,0.961057162325,1.09861228867,8,106,CCVCVCV
Q-S-P-IH1-L-OW1-V-ER1,0.999959185259,1.09861228867,8,106,CCVCVCV
Q-S-T-AH1-K-AA1-T-OW1,0.999999342153,2.07944154168,8,106,CCVCVCV
Q-S-T-AE1-M-AH1-N-AH1,0.999991830266,4.39444915467,8,106,CCVCVCV
Q-S-T-EY1-P-AH1-L-ER1,0.997931235863,3.78418963392,8,106,CCVCVCV
Q-S-T-EH1-D-AH1-L-IY1,0.999673162051,4.09434456222,8,106,CCVCVCV
Q-S-T-IH1-K-AH1-L-ER1,0.988582279215,3.82864139649,8,106,CCVCVCV
Q-S-T-IH1-F-AH1-N-ER1,0.984669848693,1.38629436112,8,106,CCVCVCV
Q-S-T-AH1-L-EH1-T-OW1,0.999986378904,2.83321334406,8,106,CCVCVCV
Q-S-T-AA1-P-OW1-V-ER1,0.999983391492,2.99573227355,8,106,CCVCVCV
Q-S-T-UW1-P-IH1-D-ER1,0.999998725142,3.43398720449,8,106,CCVCVCV
Q-S-W-AA1-HH-IY1-L-IY1,0.999998573815,3.04452243772,8,106,CCVCVCV
Q-S-W-IY1-T-AH1-N-ER1,0.999992612453,2.63905732962,8,106,CCVCVCV
Q-T-R-AE1-F-IH1-K-ER1,0.99999997426,2.07944154168,8,106,CCVCVCV
Q-T-R-AE1-JH-AH1-D-IY1,0.999772862276,6.58340922216,8,106,CCVCVCV
Q-T-R-AE1-V-AH1-L-ER1,0.999964712282,5.26785815906,8,106,CCVCVCV
Q-T-R-IH1-L-AH1-JH-IY1,0.999328190449,3.4657359028,8,106,CCVCVCV
Q-T-R-IH1-N-AH1-T-IY1,0.999821533768,5.00394630595,8,106,CCVCVCV
Q-T-R-IH1-P-AH1-L-IY1,0.949130917798,2.94443897917,8,106,CCVCVCV
Q-T-S-UW1-N-AA1-M-IY1,0.999999992889,3.295836866,8,106,CCVCVCV
Q-T-Y-UW1-P-AH1-L-OW1,0.999999703746,2.48490664979,8,106,CCVCVCV
Q-AA1-N-K-AO1-R,0.995757237069,4.83628190695,6,423,VCCVC
Q-AE1-B-HH-AO1-R,0.999188710096,2.48490664979,6,423,VCCVC
Q-AH1-B-L-EY1-Z,0.984699725747,3.04452243772,6,423,VCCVC
Q-AH1-B-R-AO1-D,0.992375125565,5.52146091786,6,423,VCCVC
Q-AE1-B-S-EH1-S,0.801755069375,3.21887582487,6,423,VCCVC
Q-AH1-B-S-ER1-D,0.981819197389,6.20455776257,6,423,VCCVC
Q-AH1-B-Y-UW1-S,0.973779691367,6.25958146406,6,423,VCCVC
Q-AE1-K-S-IY1-D,0.901408001793,1.94591014906,6,423,VCCVC
Q-AE1-K-S-EH1-S,0.91230645379,7.38709023566,6,423,VCCVC
Q-AH1-K-L-EY1-M,0.974313244707,3.09104245336,6,423,VCCVC
Q-AH1-K-R-UW1-D,0.888788148285,2.56494935746,6,423,VCCVC
Q-AH1-K-Y-UW1-Z,0.970461370989,5.66988092298,6,423,VCCVC
Q-AH1-K-W-IH1-T,0.983814939314,3.17805383035,6,423,VCCVC
Q-AH1-K-R-AO1-S,0.999632947501,8.47657950853,6,423,VCCVC
Q-AE1-K-T-IH1-D,0.83535708444,6.30627528695,6,423,VCCVC
Q-AE1-K-T-AH1-N,0.978306827992,4.18965474203,6,423,VCCVC
Q-AE1-K-T-IH1-NG,0.859300375433,7.89170465933,6,423,VCCVC
Q-AE1-K-SH-AH1-N,0.985730067268,8.04398443122,6,423,VCCVC
Q-AE1-K-T-IH1-V,0.914084538934,6.36990098283,6,423,VCCVC
Q-AE1-K-T-ER1-Z,0.99614758121,6.4676987261,6,423,VCCVC
Q-AH1-K-Y-UW1-T,0.979480144015,5.0106352941,6,423,VCCVC
Q-AE1-D-R-EH1-S,0.997356514891,7.88833450074,6,423,VCCVC
Q-AH1-D-HH-IH1-R,0.988307680557,3.36729582999,6,423,VCCVC
Q-AE1-D-M-IH1-N,0.999217372858,3.09104245336,6,423,VCCVC
Q-AE1-D-M-AY1-R,0.999908234632,6.58202513889,6,423,VCCVC
Q-AH1-D-M-IH1-T,0.993147793431,8.01268092971,6,423,VCCVC
Q-AH1-D-R-OY1-T,0.999100507596,1.79175946923,6,423,VCCVC
Q-AE1-D-V-ER1-B,0.966281985622,2.30258509299,6,423,VCCVC
Q-AE1-D-V-ER1-S,0.960635580596,3.58351893846,6,423,VCCVC
Q-AE1-D-V-AY1-S,0.934004728268,7.80261806344,6,423,VCCVC
Q-AE1-D-V-AY1-Z,0.8444286026,6.43294009274,6,423,VCCVC
Q-EH1-S-TH-IY1-T,0.886904563272,1.79175946923,6,423,VCCVC
Q-AE1-F-G-AE1-N,0.999675535391,3.36729582999,6,423,VCCVC
Q-AH1-F-L-EY1-M,0.847530302027,2.83321334406,6,423,VCCVC
Q-AH1-F-L-OW1-T,0.990465435727,4.44265125649,6,423,VCCVC
Q-AH1-F-R-EY1-D,0.992312302691,9.44390938877,6,423,VCCVC
Q-AH1-F-R-EH1-SH,0.993524724024,2.56494935746,6,423,VCCVC
Q-EY1-JH-L-AH1-S,0.9933815848,2.7080502011,6,423,VCCVC
Q-AH1-G-R-IY1-D,0.956424449245,7.51316354523,6,423,VCCVC
Q-AH1-G-R-IY1-Z,0.803334270521,5.38907172982,6,423,VCCVC
Q-EY1-M-L-AH1-S,0.994859477603,2.63905732962,6,423,VCCVC
Q-EH1-R-B-AE1-G,0.989116080117,2.99573227355,6,423,VCCVC
Q-EH1-R-B-EY1-S,0.984686617237,1.60943791243,6,423,VCCVC
Q-EH1-R-B-OW1-T,0.998338241212,1.38629436112,6,423,VCCVC
Q-EH1-R-D-EY1-L,0.90270530512,1.79175946923,6,423,VCCVC
Q-EH1-R-F-EH1-R,0.99662365818,2.48490664979,6,423,VCCVC
Q-EH1-R-HH-EH1-D,0.955636680555,3.295836866,6,423,VCCVC
Q-EH1-R-L-AH1-S,0.967088254862,1.60943791243,6,423,VCCVC
Q-EH1-R-L-AY1-N,0.998844703164,5.80211837538,6,423,VCCVC
Q-EH1-R-L-AO1-K,0.999263456978,3.73766961828,6,423,VCCVC
Q-EH1-R-M-EY1-L,0.981902854287,2.83321334406,6,423,VCCVC
Q-EH1-R-M-AH1-N,0.979590766835,3.40119738166,6,423,VCCVC
Q-EH1-R-M-EH1-N,0.975897791713,3.52636052462,6,423,VCCVC
Q-EH1-R-SH-IH1-P,0.999994781876,3.40119738166,6,423,VCCVC
Q-EH1-R-T-AY1-T,0.996935681087,4.04305126783,6,423,VCCVC
Q-EH1-R-T-AY1-M,0.992756528394,2.56494935746,6,423,VCCVC
Q-EH1-R-W-EY1-Z,0.991075802556,3.80666248977,6,423,VCCVC
Q-AE1-K-R-AH1-N,0.978584879042,3.63758615973,6,423,VCCVC
Q-AA1-L-B-AH1-N,0.512023425603,1.38629436112,6,423,VCCVC
Q-AE1-L-B-ER1-T,0.998591703415,6.85540879861,6,423,VCCVC
Q-AE1-L-B-AH1-M,0.991665158682,6.25766758788,6,423,VCCVC
Q-AE1-L-B-AH1-S,0.989300182817,2.3978952728,6,423,VCCVC
Q-AE1-L-K-OW1-V,0.998377107726,3.17805383035,6,423,VCCVC
Q-AA1-L-D-AH1-N,0.880284319752,4.44265125649,6,423,VCCVC
Q-AE1-L-P-AY1-N,0.999547868364,4.1743872699,6,423,VCCVC
Q-AO1-L-R-AY1-T,0.999394114623,8.30498958014,6,423,VCCVC
Q-AA1-L-T-EH1-R,0.997176655553,4.15888308336,6,423,VCCVC
Q-AO1-L-T-ER1-Z,0.775733070378,3.25809653802,6,423,VCCVC
Q-AO1-L-T-ER1-D,0.975402543571,5.42934562895,6,423,VCCVC
Q-AE1-L-T-OW1-Z,0.917448718777,1.94591014906,6,423,VCCVC
Q-AO1-L-W-EY1-Z,0.999778485269,10.416849956,6,423,VCCVC
Q-AE1-M-B-ER1-Z,0.736781045232,1.60943791243,6,423,VCCVC
Q-AE1-M-B-AH1-L,0.681127394749,1.60943791243,6,423,VCCVC
Q-AE1-M-B-UH1-SH,0.999836291365,5.62401750619,6,423,VCCVC
Q-AE1-M-P-AH1-L,0.908146931563,4.53259949315,6,423,VCCVC
Q-AH1-M-Y-UW1-Z,0.986193555801,4.89034912822,6,423,VCCVC
Q-AE1-NG-K-ER1-Z,0.782488206211,3.68887945411,6,423,VCCVC
Q-AE1-NG-K-ER1-D,0.864196759009,3.58351893846,6,423,VCCVC
Q-AE1-N-D-ER1-Z,0.88937439603,4.38202663467,6,423,VCCVC
Q-AE1-N-D-IY1-Z,0.933850545614,3.09104245336,6,423,VCCVC
Q-EY1-N-JH-AH1-L,0.995230279258,8.29204763743,6,423,VCCVC
Q-AE1-NG-G-ER1-D,0.885529746238,3.33220451018,6,423,VCCVC
Q-AE1-NG-G-ER1-Z,0.651798500544,2.94443897917,6,423,VCCVC
Q-AE1-NG-G-AH1-L,0.80429266882,6.63463335786,6,423,VCCVC
Q-AE1-NG-G-AH1-S,0.995121807321,5.3375380797,6,423,VCCVC
Q-AE1-NG-K-AH1-L,0.879508105702,6.01371515604,6,423,VCCVC
Q-AE1-N-S-ER1-Z,0.859791364463,7.33106030522,6,423,VCCVC
Q-AE1-N-S-ER1-D,0.948734691923,6.65286302935,6,423,VCCVC
Q-AE1-N-TH-AH1-M,0.963649489568,4.56434819147,6,423,VCCVC
Q-AE1-N-T-IH1-K,0.862286917923,1.38629436112,6,423,VCCVC
Q-AE1-N-T-IY1-K,0.997435590854,5.7333412769,6,423,VCCVC
Q-AE1-N-V-AH1-L,0.918125985089,3.4657359028,6,423,VCCVC
Q-AH1-N-W-EH1-L,0.974673950619,3.17805383035,6,423,VCCVC
Q-AH1-P-L-AA1-M,0.955935503209,2.07944154168,6,423,VCCVC
Q-AH1-P-L-AO1-D,0.892088250354,4.69134788223,6,423,VCCVC
Q-AH1-P-L-AO1-Z,0.869951617802,6.3561076607,6,423,VCCVC
Q-AH1-P-L-AY1-D,0.940605555914,5.74939298591,6,423,VCCVC
Q-AH1-P-L-AY1-Z,0.808322645883,4.84418708646,6,423,VCCVC
Q-AH1-P-R-EY1-Z,0.822080859221,2.30258509299,6,423,VCCVC
Q-AH1-P-R-AY1-Z,0.837579746561,1.94591014906,6,423,VCCVC
Q-AH1-P-R-OW1-CH,0.998986883131,6.97541392746,6,423,VCCVC
Q-AH1-P-R-UW1-V,0.972819053612,6.36302810354,6,423,VCCVC
Q-EY1-P-R-AH1-L,0.969890334538,6.95939851213,6,423,VCCVC
Q-EY1-P-R-AH1-N,0.956497645788,4.91265488574,6,423,VCCVC
Q-AA1-R-K-EY1-D,0.764129721305,4.70953020131,6,423,VCCVC
Q-AA1-R-K-EY1-N,0.919810003876,3.04452243772,6,423,VCCVC
Q-AA1-R-CH-ER1-Z,0.877094891657,4.2341065046,6,423,VCCVC
Q-AA1-R-CH-AH1-Z,0.96923343237,3.76120011569,6,423,VCCVC
Q-AA1-R-CH-IH1-NG,0.997718633732,1.79175946923,6,423,VCCVC
Q-AA1-R-K-AY1-V,0.989137821422,4.20469261939,6,423,VCCVC
Q-AA1-R-G-AA1-N,0.487895353444,2.19722457734,6,423,VCCVC
Q-AA1-R-G-AH1-S,0.974495288692,3.04452243772,6,423,VCCVC
Q-AA1-R-G-AY1-L,0.995482678242,3.76120011569,6,423,VCCVC
Q-AA1-R-M-IY1-Z,0.993508853515,5.18178355029,6,423,VCCVC
Q-AA1-R-M-IH1-NG,0.997643489732,4.04305126783,6,423,VCCVC
Q-AA1-M-W-AA1-R,0.999164292394,2.07944154168,6,423,VCCVC
Q-AA1-R-M-ER1-D,0.980518278871,5.11198778836,6,423,VCCVC
Q-AA1-R-S-IH1-Z,0.995118384786,2.77258872224,6,423,VCCVC
Q-AA1-R-S-AH1-N,0.859034613266,5.03043792139,6,423,VCCVC
Q-AE1-S-K-AA1-T,0.997613637716,3.295836866,6,423,VCCVC
Q-AE1-SH-M-AH1-N,0.99975365831,1.79175946923,6,423,VCCVC
Q-AE1-S-K-IH1-NG,0.996145836515,8.78660945506,6,423,VCCVC
Q-AH1-S-L-IY1-P,0.995360319047,7.84031298332,6,423,VCCVC
Q-AE1-S-P-AH1-N,0.98808396708,4.56434819147,6,423,VCCVC
Q-AH1-S-P-AY1-R,0.999516028634,4.00733318523,6,423,VCCVC
Q-AE1-S-HH-OW1-L,0.999909525104,8.05261481882,6,423,VCCVC
Q-AH1-S-W-EY1-JH,0.999390765051,1.79175946923,6,423,VCCVC
Q-AH1-S-T-UW1-T,0.998982271524,3.93182563272,6,423,VCCVC
Q-AE1-TH-L-IY1-T,0.998953579335,5.45958551414,6,423,VCCVC
Q-AE1-T-L-AH1-S,0.999262666969,3.95124371858,6,423,VCCVC
Q-AO1-K-SH-AH1-N,0.758673559433,6.11809719804,6,423,VCCVC
Q-AO1-S-T-IH1-R,0.999197779613,2.3978952728,6,423,VCCVC
Q-AO1-S-T-AH1-N,0.803731076271,6.26339826259,6,423,VCCVC
Q-AO1-K-W-ER1-D,0.96975288072,6.59304453414,6,423,VCCVC
Q-AE1-K-S-AH1-L,0.992247544213,5.27299955856,6,423,VCCVC
Q-AE1-K-S-IH1-Z,0.885742072621,3.55534806149,6,423,VCCVC
Q-AE1-K-S-AH1-S,0.967285988785,4.39444915467,6,423,VCCVC
Q-AE1-Z-T-EH1-K,0.997171802466,4.02535169074,6,423,VCCVC
Q-IY1-R-F-AH1-L,0.998241625371,3.09104245336,6,423,VCCVC
Q-IH1-R-L-AH1-S,0.952867226688,1.38629436112,6,423,VCCVC
Q-IH1-R-F-OW1-N,0.999433239696,1.79175946923,6,423,VCCVC
Q-IH1-R-P-IY1-S,0.999634594626,3.295836866,6,423,VCCVC
Q-IH1-R-SH-AA1-T,0.999745193712,2.94443897917,6,423,VCCVC
Q-ER1-TH-L-IH1-NG,0.999666119141,3.55534806149,6,423,VCCVC
Q-ER1-TH-W-ER1-M,0.999710948338,1.94591014906,6,423,VCCVC
Q-IY1-S-T-ER1-N,0.999930878795,6.02586597383,6,423,VCCVC
Q-EH1-JH-W-EY1-Z,0.96361763355,1.09861228867,6,423,VCCVC
Q-EH1-JH-W-AY1-Z,0.968530355951,2.83321334406,6,423,VCCVC
Q-EH1-D-W-ER1-D,0.985680816283,6.95749737088,6,423,VCCVC
Q-EH1-G-HH-EH1-D,0.971562273566,4.04305126783,6,423,VCCVC
Q-EH1-G-N-AO1-G,0.998085012563,4.36944785247,6,423,VCCVC
Q-EH1-G-SH-EH1-L,0.999932241354,3.13549421593,6,423,VCCVC
Q-IH1-G-R-EH1-S,0.969265058259,2.30258509299,6,423,VCCVC
Q-EH1-L-B-OW1-D,0.908915756408,1.94591014906,6,423,VCCVC
Q-EH1-L-B-OW1-Z,0.932237451939,4.8283137373,6,423,VCCVC
Q-EH1-L-D-ER1-Z,0.978372974951,5.62040086572,6,423,VCCVC
Q-EH1-L-F-IH1-N,0.99890469165,2.07944154168,6,423,VCCVC
Q-EH1-L-S-IH1-Z,0.972547269441,1.94591014906,6,423,VCCVC
Q-EH1-L-V-IH1-S,0.99940688499,6.28599809451,6,423,VCCVC
Q-EH1-M-B-AA1-M,0.97692642287,1.38629436112,6,423,VCCVC
Q-IH1-M-B-EH1-D,0.970211713888,1.79175946923,6,423,VCCVC
Q-EH1-M-B-ER1-Z,0.920377015249,2.63905732962,6,423,VCCVC
Q-EH1-N-K-OW1-D,0.990382145696,1.60943791243,6,423,VCCVC
Q-EH1-N-D-IY1-R,0.995451524094,1.79175946923,6,423,VCCVC
Q-EH1-N-D-AH1-D,0.914441680781,7.32052696227,6,423,VCCVC
Q-EH1-N-D-IH1-NG,0.951656720593,6.69950034016,6,423,VCCVC
Q-EH1-N-D-IH1-V,0.950745705076,1.94591014906,6,423,VCCVC
Q-EH1-N-D-AW1-D,0.991708864572,3.4657359028,6,423,VCCVC
Q-IH1-N-G-EY1-JH,0.977420103922,5.74939298591,6,423,VCCVC
Q-EH1-N-JH-AH1-N,0.990078192108,7.39387829011,6,423,VCCVC
Q-EH1-NG-G-AH1-L,0.865790477698,4.14313472639,6,423,VCCVC
Q-EH1-N-JH-OY1-N,0.847270613152,2.07944154168,6,423,VCCVC
Q-EH1-N-JH-OY1-D,0.858954487737,6.83087423465,6,423,VCCVC
Q-EH1-N-JH-OY1-Z,0.785346242337,5.0106352941,6,423,VCCVC
Q-EH1-N-R-EY1-JH,0.997793987085,2.63905732962,6,423,VCCVC
Q-EH1-N-R-IH1-CH,0.997400239664,2.63905732962,6,423,VCCVC
Q-IH1-N-R-AY1-T,0.875831747176,3.25809653802,6,423,VCCVC
Q-EH1-N-R-OW1-L,0.986019101682,3.52636052462,6,423,VCCVC
Q-EH1-N-S-AH1-N,0.996749014674,5.19849703127,6,423,VCCVC
Q-IH1-N-S-UW1-D,0.94790382833,2.77258872224,6,423,VCCVC
Q-IH1-N-S-UW1-Z,0.815006789161,2.19722457734,6,423,VCCVC
Q-EH1-N-SH-UH1-R,0.96404202569,5.53338948873,6,423,VCCVC
Q-EH1-N-T-EY1-L,0.979428890309,3.36729582999,6,423,VCCVC
Q-EH1-N-T-ER1-D,0.943177175173,6.61606518513,6,423,VCCVC
Q-EH1-N-T-ER1-Z,0.813165254603,5.26785815906,6,423,VCCVC
