Word,Confusability,Frequency,Length,NumNeighbors,CV
Q-AH1,0.794137275866,13.8903935155,2,10,V
Q-EY1,0.933336199623,5.58349630878,2,10,V
Q-AA1,0.418372113886,9.48971301656,2,10,V
Q-AY1,0.985122641927,14.5317197541,2,10,V
Q-OW1,0.914339458908,12.1232343672,2,10,V
Q-AO1,0.532629046549,7.70210434005,2,10,V
Q-IY1,0.917004830656,8.26719218593,2,10,V
Q-EH1,0.901540864877,7.87054784451,2,10,V
Q-ER1,0.964279810793,7.58375630071,2,10,V
Q-OY1,0.880110031759,5.74300318781,2,10,V
Q-UW1,0.865436945227,8.48198043566,2,10,V
Q-EY1-EY1,0.999980873795,4.46590811865,3,6,VV
Q-ER1-EY1,0.998869300178,4.68213122712,3,6,VV
Q-AW1-ER1,0.999818525793,11.2860499586,3,6,VV
Q-ER1-AY1,0.995441313011,3.33220451018,3,6,VV
Q-IY1-AH1,0.999466689182,3.04452243772,3,6,VV
Q-AY1-OW1,0.999648795189,2.63905732962,3,6,VV
Q-OY1-ER1,0.981446187108,1.09861228867,3,6,VV
Q-T-R-IH1-P-AH1-L-EY1,0.99856110015,3.21887582487,8,106,CCVCVCV
Q-B-Y-UW1-T-IH1-F-AY1,0.999999987848,2.07944154168,8,106,CCVCVCV
Q-B-L-UW1-B-EH1-R-IY1,0.999998675711,4.8751973232,8,106,CCVCVCV
Q-B-R-AA1-CH-EH1-R-OW1,0.999999968286,2.30258509299,8,106,CCVCVCV
Q-B-R-AE1-S-AH1-R-IY1,0.999996407588,1.60943791243,8,106,CCVCVCV
Q-B-R-AH1-V-AA1-D-OW1,0.99881921931,3.17805383035,8,106,CCVCVCV
Q-B-R-EY1-K-AH1-W-EY1,0.999999641261,3.52636052462,8,106,CCVCVCV
Q-B-R-EH1-V-AH1-T-IY1,0.967003019523,2.3978952728,8,106,CCVCVCV
Q-B-R-AA1-K-AH1-L-IY1,0.999169837593,4.75359019111,8,106,CCVCVCV
Q-B-R-AH1-DH-ER1-L-IY1,0.99998715169,3.76120011569,8,106,CCVCVCV
Q-B-R-UW1-HH-AA1-HH-AA1,0.999995468489,2.3978952728,8,106,CCVCVCV
Q-B-R-UW1-T-AH1-L-IY1,0.998900454126,4.52178857705,8,106,CCVCVCV
Q-K-L-EH1-R-AH1-F-AY1,0.999735957709,4.73619844839,8,106,CCVCVCV
