Word,Confusability,Frequency,Length,NumNeighbors,CV
Q-AH1,0.802881302721,13.8903935155,2,10,V
Q-EY1,0.812205938268,5.58349630878,2,10,V
Q-AA1,0.421059894008,9.48971301656,2,10,V
Q-AY1,0.925864129386,14.5317197541,2,10,V
Q-OW1,0.886898476015,12.1232343672,2,10,V
Q-AO1,0.55037453544,7.70210434005,2,10,V
Q-IY1,0.860535300488,8.26719218593,2,10,V
Q-EH1,0.825816203867,7.87054784451,2,10,V
Q-ER1,0.959830026726,7.58375630071,2,10,V
Q-OY1,0.962017495772,5.74300318781,2,10,V
Q-UW1,0.869643398311,8.48198043566,2,10,V
Q-EY1-EY1,0.992474577574,4.46590811865,3,6,VV
Q-ER1-EY1,0.995043854772,4.68213122712,3,6,VV
Q-AW1-ER1,0.998440199055,11.2860499586,3,6,VV
Q-ER1-AY1,0.977653179596,3.33220451018,3,6,VV
Q-IY1-AH1,0.999324172406,3.04452243772,3,6,VV
Q-AY1-OW1,0.999658313209,2.63905732962,3,6,VV
Q-OY1-ER1,0.774701847731,1.09861228867,3,6,VV
Q-T-R-IH1-P-AH1-L-EY1,0.967455104172,3.21887582487,8,106,CCVCVCV
Q-B-Y-UW1-T-IH1-F-AY1,0.999999976521,2.07944154168,8,106,CCVCVCV
Q-B-L-UW1-B-EH1-R-IY1,0.99999869026,4.8751973232,8,106,CCVCVCV
Q-B-R-AA1-CH-EH1-R-OW1,0.999999750666,2.30258509299,8,106,CCVCVCV
Q-B-R-AE1-S-AH1-R-IY1,0.999994346201,1.60943791243,8,106,CCVCVCV
Q-B-R-AH1-V-AA1-D-OW1,0.998651526174,3.17805383035,8,106,CCVCVCV
Q-B-R-EY1-K-AH1-W-EY1,0.999999406522,3.52636052462,8,106,CCVCVCV
Q-B-R-EH1-V-AH1-T-IY1,0.966564507631,2.3978952728,8,106,CCVCVCV
Q-B-R-AA1-K-AH1-L-IY1,0.9991259109,4.75359019111,8,106,CCVCVCV
Q-B-R-AH1-DH-ER1-L-IY1,0.999986589037,3.76120011569,8,106,CCVCVCV
