Word,Confusability,Frequency,Length,NumNeighbors,CV
Q-AH1,0.794185773926,13.8903935155,2,10,V
Q-EY1,0.92101907108,5.58349630878,2,10,V
Q-AA1,0.418462657938,9.48971301656,2,10,V
Q-AY1,0.985261227473,14.5317197541,2,10,V
Q-OW1,0.915052691608,12.1232343672,2,10,V
Q-AO1,0.532583740856,7.70210434005,2,10,V
Q-IY1,0.9998534568,8.26719218593,2,10,V
Q-EH1,0.908379222301,7.87054784451,2,10,V
Q-ER1,0.968874359492,7.58375630071,2,10,V
Q-OY1,0.937127458005,5.74300318781,2,10,V
Q-UW1,0.903581279863,8.48198043566,2,10,V
Q-EY1-EY1,0.992645520165,4.46590811865,3,6,VV
Q-ER1-EY1,0.995043913567,4.68213122712,3,6,VV
Q-AW1-ER1,0.998448807029,11.2860499586,3,6,VV
Q-ER1-AY1,0.977659724408,3.33220451018,3,6,VV
Q-IY1-AH1,0.999998163281,3.04452243772,3,6,VV
Q-AY1-OW1,0.999984815341,2.63905732962,3,6,VV
Q-OY1-ER1,0.774732276789,1.09861228867,3,6,VV
Q-T-R-IH1-P-AH1-L-EY1,0.999993114806,3.21887582487,8,106,CCVCVCV
Q-B-Y-UW1-T-IH1-F-AY1,0.999999987828,2.07944154168,8,106,CCVCVCV
Q-B-L-UW1-B-EH1-R-IY1,0.999998754148,4.8751973232,8,106,CCVCVCV
Q-B-R-AA1-CH-EH1-R-OW1,0.999999998499,2.30258509299,8,106,CCVCVCV
Q-B-R-AE1-S-AH1-R-IY1,0.999998056577,1.60943791243,8,106,CCVCVCV
Q-B-R-AH1-V-AA1-D-OW1,0.99884411061,3.17805383035,8,106,CCVCVCV
Q-B-R-EY1-K-AH1-W-EY1,0.99999063345,3.52636052462,8,106,CCVCVCV
Q-B-R-EH1-V-AH1-T-IY1,0.967326952376,2.3978952728,8,106,CCVCVCV
Q-B-R-AA1-K-AH1-L-IY1,0.999176899073,4.75359019111,8,106,CCVCVCV
Q-B-R-AH1-DH-ER1-L-IY1,0.999987957459,3.76120011569,8,106,CCVCVCV
