Word,Confusability,Frequency,Length,NumNeighbors,CV
Q-AH1,0.802881302721,13.8903935155,2,10,V
Q-EY1,0.880035918347,5.58349630878,2,10,V
Q-AA1,0.422809370297,9.48971301656,2,10,V
Q-AY1,0.986579814982,14.5317197541,2,10,V
Q-OW1,0.999951930282,12.1232343672,2,10,V
Q-AO1,0.551602943784,7.70210434005,2,10,V
Q-IY1,0.917032144954,8.26719218593,2,10,V
Q-EH1,0.902027383083,7.87054784451,2,10,V
Q-ER1,0.964279810793,7.58375630071,2,10,V
Q-OY1,0.962017495772,5.74300318781,2,10,V
Q-UW1,0.880633379616,8.48198043566,2,10,V
Q-EY1-EY1,0.992652578005,4.46590811865,3,6,VV
Q-ER1-EY1,0.995043908239,4.68213122712,3,6,VV
Q-AW1-ER1,0.998440200877,11.2860499586,3,6,VV
Q-ER1-AY1,0.977653311804,3.33220451018,3,6,VV
Q-IY1-AH1,0.999324172406,3.04452243772,3,6,VV
Q-AY1-OW1,0.999999701071,2.63905732962,3,6,VV
Q-OY1-ER1,0.774708675222,1.09861228867,3,6,VV
Q-T-R-IH1-P-AH1-L-EY1,0.96749567866,3.21887582487,8,106,CCVCVCV
Q-B-Y-UW1-T-IH1-F-AY1,0.999999989581,2.07944154168,8,106,CCVCVCV
Q-B-L-UW1-B-EH1-R-IY1,0.999998830714,4.8751973232,8,106,CCVCVCV
Q-B-R-AA1-CH-EH1-R-OW1,0.999999999872,2.30258509299,8,106,CCVCVCV
Q-B-R-AE1-S-AH1-R-IY1,0.999994398781,1.60943791243,8,106,CCVCVCV
Q-B-R-AH1-V-AA1-D-OW1,0.998898266386,3.17805383035,8,106,CCVCVCV
Q-B-R-EY1-K-AH1-W-EY1,0.999990144029,3.52636052462,8,106,CCVCVCV
Q-B-R-EH1-V-AH1-T-IY1,0.967006019043,2.3978952728,8,106,CCVCVCV
Q-B-R-AA1-K-AH1-L-IY1,0.999172236751,4.75359019111,8,106,CCVCVCV
Q-B-R-AH1-DH-ER1-L-IY1,0.999987616923,3.76120011569,8,106,CCVCVCV
Q-B-R-UW1-HH-AA1-HH-AA1,0.999995797512,2.3978952728,8,106,CCVCVCV
Q-B-R-UW1-T-AH1-L-IY1,0.998905709154,4.52178857705,8,106,CCVCVCV
Q-K-L-EH1-R-AH1-F-AY1,0.999735957335,4.73619844839,8,106,CCVCVCV
Q-K-L-EH1-R-AH1-T-IY1,0.999515343274,4.67282883446,8,106,CCVCVCV
Q-K-L-AE1-S-AH1-F-AY1,0.999924846927,3.4657359028,8,106,CCVCVCV
Q-K-L-EH1-V-ER1-L-IY1,0.999982252421,3.80666248977,8,106,CCVCVCV
Q-K-R-EY1-Z-AH1-L-IY1,0.999344090623,1.60943791243,8,106,CCVCVCV
Q-K-R-EH1-D-AH1-T-ER1,0.607130970269,1.94591014906,8,106,CCVCVCV
Q-K-R-AO1-S-OW1-V-ER1,0.999999975123,2.99573227355,8,106,CCVCVCV
Q-K-R-AA1-CH-AH1-T-IY1,0.999874592497,2.56494935746,8,106,CCVCVCV
Q-K-R-UW1-S-AH1-F-AY1,0.999999474227,4.70953020131,8,106,CCVCVCV
Q-K-R-UW1-S-EY1-D-ER1,0.999993341909,4.04305126783,8,106,CCVCVCV
Q-K-R-AY1-B-EY1-B-IY1,0.999818673434,4.20469261939,8,106,CCVCVCV
Q-K-W-IY1-D-AE1-D-OW1,0.999999999989,2.63905732962,8,106,CCVCVCV
Q-K-Y-UW1-R-AE1-R-EY1,0.999999193228,2.30258509299,8,106,CCVCVCV
Q-K-Y-UH1-R-EY1-T-ER1,0.999999967153,3.85014760171,8,106,CCVCVCV
Q-F-L-AO1-R-AH1-D-AH1,0.999995559565,6.84374994901,8,106,CCVCVCV
Q-F-L-AY1-K-AE1-CH-ER1,0.999889379718,0.69314718056,8,106,CCVCVCV
Q-F-L-AY1-P-EY1-P-ER1,0.9999995772,2.63905732962,8,106,CCVCVCV
Q-F-R-IY1-L-OW1-D-ER1,0.999999782859,2.07944154168,8,106,CCVCVCV
Q-F-R-EH1-SH-AH1-N-ER1,0.999997584387,2.99573227355,8,106,CCVCVCV
Q-G-L-AO1-K-OW1-M-AH1,0.999997948574,3.43398720449,8,106,CCVCVCV
Q-G-L-IY1-F-AH1-L-IY1,0.997123177188,1.79175946923,8,106,CCVCVCV
Q-G-L-OW1-B-AH1-L-IY1,0.999996788694,2.3978952728,8,106,CCVCVCV
Q-G-L-AO1-R-AH1-F-AY1,0.99997962565,2.94443897917,8,106,CCVCVCV
Q-G-L-AH1-T-AH1-N-IY1,0.999987490155,2.8903717579,8,106,CCVCVCV
Q-G-R-AH1-F-IY1-T-IY1,0.999889686391,4.63472898823,8,106,CCVCVCV
Q-G-R-AH1-M-ER1-S-IY1,0.999983081213,3.17805383035,8,106,CCVCVCV
Q-G-R-AH1-N-AA1-D-AH1,0.999997441932,3.58351893846,8,106,CCVCVCV
Q-G-R-AA1-N-AA1-D-OW1,0.997262459602,2.19722457734,8,106,CCVCVCV
Q-G-R-AH1-N-OW1-L-AH1,0.999998856965,3.40119738166,8,106,CCVCVCV
Q-G-R-AE1-T-AH1-F-AY1,0.999991349823,2.07944154168,8,106,CCVCVCV
Q-G-R-AE1-V-AH1-T-IY1,0.994152416957,5.86078622347,8,106,CCVCVCV
Q-G-R-IY1-D-AH1-L-IY1,0.996714395225,0.69314718056,8,106,CCVCVCV
Q-G-R-IH1-N-EY1-D-AH1,0.999998789545,3.36729582999,8,106,CCVCVCV
Q-M-Y-UW1-K-OW1-S-AH1,0.999999999778,2.56494935746,8,106,CCVCVCV
Q-M-Y-UW1-T-AH1-N-IY1,0.99998894727,4.83628190695,8,106,CCVCVCV
Q-P-L-AH1-S-IY1-B-OW1,0.999999995506,3.61091791264,8,106,CCVCVCV
Q-P-L-EY1-F-AH1-L-IY1,0.998533331673,2.07944154168,8,106,CCVCVCV
Q-P-L-UH1-R-AH1-S-IY1,0.997607863992,1.60943791243,8,106,CCVCVCV
Q-P-R-IY1-K-ER1-S-ER1,0.999999419126,1.94591014906,8,106,CCVCVCV
Q-P-R-EH1-D-AH1-T-ER1,0.897666720815,4.89783979995,8,106,CCVCVCV
Q-P-R-IY1-Z-ER1-V-ER1,0.999942285138,2.63905732962,8,106,CCVCVCV
Q-P-R-AY1-M-EH1-R-IY1,0.99998957538,6.09582456243,8,106,CCVCVCV
Q-P-R-IH1-Z-AH1-N-ER1,0.999909043419,7.07326971746,8,106,CCVCVCV
Q-P-R-AY1-V-AH1-S-IY1,0.999625628309,6.65157187359,8,106,CCVCVCV
Q-P-R-OW1-B-AH1-T-IY1,0.999996046088,1.09861228867,8,106,CCVCVCV
Q-P-R-AH1-S-IY1-JH-ER1,0.999999966023,6.71295620068,8,106,CCVCVCV
Q-P-R-AA1-S-EH1-S-ER1,0.834524728832,3.82864139649,8,106,CCVCVCV
Q-P-R-AA1-D-AH1-JH-IY1,0.999784116455,4.20469261939,8,106,CCVCVCV
Q-P-R-AH1-D-UW1-S-ER1,0.99929423129,6.45519856334,8,106,CCVCVCV
Q-P-R-AH1-F-EH1-S-ER1,0.999423811293,8.17413934343,8,106,CCVCVCV
Q-P-R-AA1-JH-AH1-N-IY1,0.993292646094,2.8903717579,8,106,CCVCVCV
Q-P-R-AH1-M-OW1-T-ER1,0.999999781333,3.93182563272,8,106,CCVCVCV
Q-P-R-AH1-P-EH1-L-ER1,0.999949766334,4.35670882669,8,106,CCVCVCV
Q-P-R-AA1-P-ER1-L-IY1,0.990449927045,6.48920493133,8,106,CCVCVCV
