Word,Confusability,Frequency,Length,NumNeighbors,CV
Q-AH1,0.796406346858,13.8903935155,2,10,V
Q-EY1,0.877983901893,5.58349630878,2,10,V
Q-AA1,0.419758787933,9.48971301656,2,10,V
Q-AY1,0.985656899149,14.5317197541,2,10,V
Q-OW1,0.905249356164,12.1232343672,2,10,V
Q-AO1,0.538156973533,7.70210434005,2,10,V
Q-IY1,0.910223966661,8.26719218593,2,10,V
Q-EH1,0.902027383083,7.87054784451,2,10,V
Q-ER1,0.964279810793,7.58375630071,2,10,V
Q-OY1,0.941286530244,5.74300318781,2,10,V
Q-UW1,0.866658545221,8.48198043566,2,10,V
Q-EY1-EY1,0.992652578005,4.46590811865,3,6,VV
Q-ER1-EY1,0.995043908239,4.68213122712,3,6,VV
Q-AW1-ER1,0.998440200877,11.2860499586,3,6,VV
Q-ER1-AY1,0.977653311804,3.33220451018,3,6,VV
Q-IY1-AH1,0.999311156035,3.04452243772,3,6,VV
Q-AY1-OW1,0.999857890226,2.63905732962,3,6,VV
Q-OY1-ER1,0.774708675222,1.09861228867,3,6,VV
Q-T-R-IH1-P-AH1-L-EY1,0.96749649006,3.21887582487,8,106,CCVCVCV
Q-B-Y-UW1-T-IH1-F-AY1,0.999999964817,2.07944154168,8,106,CCVCVCV
Q-B-L-UW1-B-EH1-R-IY1,0.999999203349,4.8751973232,8,106,CCVCVCV
Q-B-R-AA1-CH-EH1-R-OW1,0.999999140693,2.30258509299,8,106,CCVCVCV
Q-B-R-AE1-S-AH1-R-IY1,0.999995621487,1.60943791243,8,106,CCVCVCV
Q-B-R-AH1-V-AA1-D-OW1,0.998458126864,3.17805383035,8,106,CCVCVCV
Q-B-R-EY1-K-AH1-W-EY1,0.999989149126,3.52636052462,8,106,CCVCVCV
Q-B-R-EH1-V-AH1-T-IY1,0.967001362257,2.3978952728,8,106,CCVCVCV
Q-B-R-AA1-K-AH1-L-IY1,0.993652610403,4.75359019111,8,106,CCVCVCV
Q-B-R-AH1-DH-ER1-L-IY1,0.999976321045,3.76120011569,8,106,CCVCVCV
Q-B-R-UW1-HH-AA1-HH-AA1,0.999996437273,2.3978952728,8,106,CCVCVCV
Q-B-R-UW1-T-AH1-L-IY1,0.993340910982,4.52178857705,8,106,CCVCVCV
