'HeardPhone','P','B','T','D','K','G','JH','CH','F','V','TH','DH','S','Z','SH','HH','M','N','L','R','NG','Y','W','ZH','IH1','IY1','EY1','AY1','OY1','EH1','AE1','ER1','UH1','UW1','AW1','OW1','AO1','AH1','AA1'
'P',0.82302006523,0.00210047106799,0.00418776228213,0.00209168554994,0.0104409970368,4.39429093721e-06,4.33954321968e-06,4.33954321968e-06,0.00210047106799,4.35767822904e-06,0.0147387266024,4.35767822904e-06,0.00210047106799,4.33954321968e-06,4.35767822904e-06,0.0755958576646,4.33954321968e-06,4.37592714956e-06,0.00209606910464,4.35767822904e-06,1.7641973784e-05,1.73493641458e-05,1.73493641458e-05,1.7641973784e-05,2.16882102889e-06,2.1309966245e-06,2.1309966245e-06,2.13723164385e-06,2.11245439739e-06,2.16882102889e-06,2.18165316951e-06,2.11245439739e-06,2.24755466053e-06,2.19459952948e-06,2.18811198757e-06,2.13723164385e-06,2.20111596579e-06,2.20111596579e-06,2.23413762288e-06
'B',0.00421423000567,0.677037193278,4.37592714956e-06,0.00835366916507,4.35767822904e-06,0.00838870139914,4.33954321968e-06,0.00208732028867,4.39429093721e-06,0.0584495380861,0.00631912932501,0.0313142757539,4.39429093721e-06,4.33954321968e-06,4.35767822904e-06,0.00841522149498,4.33954321968e-06,4.37592714956e-06,0.00209606910464,4.35767822904e-06,1.7641973784e-05,1.73493641458e-05,0.0208365863391,1.7641973784e-05,2.16882102889e-06,2.1309966245e-06,2.1309966245e-06,2.13723164385e-06,2.11245439739e-06,2.16882102889e-06,2.18165316951e-06,2.11245439739e-06,2.24755466053e-06,2.19459952948e-06,2.18811198757e-06,2.13723164385e-06,2.20111596579e-06,2.20111596579e-06,2.23413762288e-06
'T',4.43136698809e-06,0.00210047106799,0.981008476171,0.00209168554994,0.00626634129336,4.39429093721e-06,4.33954321968e-06,0.00833626252501,0.00419654784504,4.35767822904e-06,0.0210534245604,0.00209168554994,4.39429093721e-06,4.33954321968e-06,4.35767822904e-06,1.7641973784e-05,4.33954321968e-06,4.37592714956e-06,4.37592714956e-06,4.35767822904e-06,1.7641973784e-05,1.73493641458e-05,1.73493641458e-05,1.7641973784e-05,2.16882102889e-06,2.1309966245e-06,2.1309966245e-06,2.13723164385e-06,2.11245439739e-06,2.16882102889e-06,2.18165316951e-06,2.11245439739e-06,2.24755466053e-06,2.19459952948e-06,2.18811198757e-06,2.13723164385e-06,2.20111596579e-06,2.20111596579e-06,2.23413762288e-06
'D',0.00210933068633,0.00838870139914,4.37592714956e-06,0.956000522921,4.35767822904e-06,4.39429093721e-06,0.00208732028867,4.33954321968e-06,4.39429093721e-06,0.00417901342165,0.00421423000567,0.0292269478822,4.39429093721e-06,4.33954321968e-06,4.35767822904e-06,0.00421643173438,4.33954321968e-06,0.00837114863712,0.00209606910464,4.35767822904e-06,0.00421643173438,1.73493641458e-05,1.73493641458e-05,1.7641973784e-05,2.16882102889e-06,2.1309966245e-06,2.1309966245e-06,2.13723164385e-06,2.11245439739e-06,2.16882102889e-06,2.18165316951e-06,2.11245439739e-06,2.24755466053e-06,2.19459952948e-06,2.18811198757e-06,2.13723164385e-06,2.20111596579e-06,2.20111596579e-06,2.23413762288e-06
'K',0.0399975184345,4.39429093721e-06,0.00627945545963,4.35767822904e-06,0.949738539306,0.00838870139914,4.33954321968e-06,0.00833626252501,4.39429093721e-06,0.00209168554994,0.00842402864436,4.35767822904e-06,0.00838870139914,4.33954321968e-06,4.35767822904e-06,0.0252103805374,4.33954321968e-06,4.37592714956e-06,4.37592714956e-06,4.35767822904e-06,1.7641973784e-05,1.73493641458e-05,1.73493641458e-05,1.7641973784e-05,2.16882102889e-06,2.1309966245e-06,2.1309966245e-06,2.13723164385e-06,2.11245439739e-06,2.16882102889e-06,2.18165316951e-06,2.11245439739e-06,2.24755466053e-06,2.19459952948e-06,2.18811198757e-06,2.13723164385e-06,2.20111596579e-06,2.20111596579e-06,2.23413762288e-06
'G',4.43136698809e-06,0.102712156366,0.00209606910464,0.00209168554994,0.0104409970368,0.911797792308,0.045829915943,4.33954321968e-06,4.39429093721e-06,0.0104409970368,0.00210933068633,0.00835366916507,4.39429093721e-06,4.33954321968e-06,4.35767822904e-06,1.7641973784e-05,4.33954321968e-06,4.37592714956e-06,4.37592714956e-06,0.00209168554994,0.050403119101,1.73493641458e-05,1.73493641458e-05,1.7641973784e-05,2.16882102889e-06,2.1309966245e-06,2.1309966245e-06,2.13723164385e-06,2.11245439739e-06,2.16882102889e-06,2.18165316951e-06,2.11245439739e-06,2.24755466053e-06,2.19459952948e-06,2.18811198757e-06,2.13723164385e-06,2.20111596579e-06,2.20111596579e-06,2.23413762288e-06
'JH',4.43136698809e-06,4.39429093721e-06,4.37592714956e-06,0.00209168554994,4.35767822904e-06,0.00629262462209,0.862358368158,0.00625328177956,0.00210047106799,4.35767822904e-06,4.43136698809e-06,4.35767822904e-06,4.39429093721e-06,4.33954321968e-06,4.35767822904e-06,1.7641973784e-05,4.33954321968e-06,4.37592714956e-06,4.37592714956e-06,4.35767822904e-06,1.7641973784e-05,1.73493641458e-05,1.73493641458e-05,0.138577704074,2.16882102889e-06,2.1309966245e-06,2.1309966245e-06,2.13723164385e-06,2.11245439739e-06,2.16882102889e-06,2.18165316951e-06,2.11245439739e-06,2.24755466053e-06,2.19459952948e-06,2.18811198757e-06,2.13723164385e-06,2.20111596579e-06,2.20111596579e-06,2.23413762288e-06
'CH',4.43136698809e-06,4.39429093721e-06,4.37592714956e-06,4.35767822904e-06,0.0104409970368,4.39429093721e-06,0.0166681855068,0.968590386176,4.39429093721e-06,4.35767822904e-06,4.43136698809e-06,4.35767822904e-06,0.00210047106799,4.33954321968e-06,0.0751481610598,1.7641973784e-05,4.33954321968e-06,4.37592714956e-06,4.37592714956e-06,4.35767822904e-06,1.7641973784e-05,1.73493641458e-05,1.73493641458e-05,0.0126140112556,2.16882102889e-06,2.1309966245e-06,2.1309966245e-06,2.13723164385e-06,2.11245439739e-06,2.16882102889e-06,2.18165316951e-06,2.11245439739e-06,2.24755466053e-06,2.19459952948e-06,2.18811198757e-06,2.13723164385e-06,2.20111596579e-06,2.20111596579e-06,2.23413762288e-06
'F',0.00631912932501,0.0335416227238,4.37592714956e-06,4.35767822904e-06,4.35767822904e-06,4.39429093721e-06,4.33954321968e-06,4.33954321968e-06,0.819570414118,0.052187554471,0.269431544243,0.0125283249085,0.00419654784504,4.33954321968e-06,4.35767822904e-06,0.0168128010162,4.33954321968e-06,4.37592714956e-06,0.0188296145246,0.00209168554994,1.7641973784e-05,1.73493641458e-05,1.73493641458e-05,1.7641973784e-05,2.16882102889e-06,2.1309966245e-06,2.1309966245e-06,2.13723164385e-06,2.11245439739e-06,2.16882102889e-06,2.18165316951e-06,2.11245439739e-06,2.24755466053e-06,2.19459952948e-06,2.18811198757e-06,2.13723164385e-06,2.20111596579e-06,2.20111596579e-06,2.23413762288e-06
'V',0.00210933068633,0.0314455459467,4.37592714956e-06,4.35767822904e-06,4.35767822904e-06,0.0125808549532,4.33954321968e-06,4.33954321968e-06,0.0125808549532,0.70969583406,0.00421423000567,0.154466620185,4.39429093721e-06,0.0229171277431,4.35767822904e-06,0.00421643173438,4.33954321968e-06,0.00209606910464,0.00837114863712,0.0250522921387,1.7641973784e-05,0.00418119675914,0.0166727389441,1.7641973784e-05,2.16882102889e-06,2.1309966245e-06,2.1309966245e-06,2.13723164385e-06,2.11245439739e-06,2.16882102889e-06,2.18165316951e-06,2.11245439739e-06,2.24755466053e-06,2.19459952948e-06,2.18811198757e-06,2.13723164385e-06,2.20111596579e-06,2.20111596579e-06,2.23413762288e-06
