'HeardPhone','P','B','T','D','K','G','JH','CH','F','V','TH','DH','S','Z','SH','HH','M','N','L','R','NG','Y','W','ZH','IH1','IY1','EY1','AY1','OY1','EH1','AE1','ER1','UH1','UW1','AW1','OW1','AO1','AH1','AA1'
'P',0.339769443,0.0176226625597,0.0782149368989,4.56489685616e-06,0.117505009974,0.0108018357524,0.00418776228213,0.00209168554994,0.170969116979,0.0173550997365,0.111095894788,4.56489685616e-06,0.0063324655675,0.00214093662554,0.00209168554994,0.153412913519,0.00211826534625,4.41277055799e-06,0.00430492361188,0.0042410343636,1.77910617706e-05,1.80949623625e-05,0.00852272727273,1.73493641458e-05,2.156101768e-06,2.17522290597e-06,2.16244737144e-06,2.13723164385e-06,2.13723164385e-06,2.21423621029e-06,2.16244737144e-06,2.12478884911e-06,2.27475387163e-06,2.18811198757e-06,2.14978405419e-06,2.18811198757e-06,2.18811198757e-06,2.16882102889e-06,2.22084036599e-06
'B',0.0389586056033,0.288496519609,0.0148010439384,0.0598229732999,0.0128227952689,0.0475122196933,0.0104628418146,4.35767822904e-06,0.0497791393226,0.110613473843,0.0405956277418,0.0640957167573,0.0126604810538,0.0149591669976,4.35767822904e-06,0.0745247294466,0.0274838225305,0.00420537034177,0.0258064217808,0.0296603133429,0.00423427270139,0.0340366242038,0.0425412565142,1.73493641458e-05,2.156101768e-06,2.17522290597e-06,2.16244737144e-06,2.13723164385e-06,2.13723164385e-06,2.21423621029e-06,2.16244737144e-06,2.12478884911e-06,2.27475387163e-06,2.18811198757e-06,2.14978405419e-06,2.18811198757e-06,2.18811198757e-06,2.16882102889e-06,2.22084036599e-06
'T',0.0995535944314,0.00661153015935,0.490405241143,0.0320501408271,0.138868727261,0.0215990074997,0.00627945545963,0.0438382429841,0.0627637797857,0.0130175009409,0.119641381703,0.0170955387263,0.0253165120263,0.00855005181158,4.35767822904e-06,0.052611344982,0.00211826534625,4.41277055799e-06,0.00430492361188,0.0042410343636,0.00423427270139,0.00852272727273,0.00427041111754,1.73493641458e-05,2.156101768e-06,2.17522290597e-06,2.16244737144e-06,2.13723164385e-06,2.13723164385e-06,2.21423621029e-06,2.16244737144e-06,2.12478884911e-06,2.27475387163e-06,2.18811198757e-06,2.14978405419e-06,2.18811198757e-06,2.18811198757e-06,2.16882102889e-06,2.22084036599e-06
'D',0.00866111118918,0.0616671921612,0.00845965464231,0.294823863455,0.0064136800829,0.0604688257901,0.050205012187,4.35767822904e-06,0.00649700444532,0.0260302973278,0.0128227952689,0.136732355532,4.45008121398e-06,0.0598229732999,4.35767822904e-06,0.00440189915999,0.0105734510743,0.029411115769,0.0129055228794,0.00635930761187,0.0126672359806,0.0552982049797,1.80949623625e-05,0.0250004337341,2.156101768e-06,2.17522290597e-06,2.16244737144e-06,2.13723164385e-06,2.13723164385e-06,2.21423621029e-06,2.16244737144e-06,2.12478884911e-06,2.27475387163e-06,2.18811198757e-06,2.14978405419e-06,2.18811198757e-06,2.18811198757e-06,2.16882102889e-06,2.22084036599e-06
'K',0.0973894876875,0.0286337949601,0.0782149368989,0.00214093662554,0.457188114835,0.0129612701019,0.00209606910464,0.00626634129336,0.0541073528103,0.00867990214528,0.0405956277418,4.56489685616e-06,0.0063324655675,4.56489685616e-06,0.00209168554994,0.0482286680891,0.00211826534625,4.41277055799e-06,0.00430492361188,0.00847758086014,0.00423427270139,1.80949623625e-05,1.80949623625e-05,1.73493641458e-05,2.156101768e-06,2.17522290597e-06,2.16244737144e-06,2.13723164385e-06,2.13723164385e-06,2.21423621029e-06,2.16244737144e-06,2.12478884911e-06,2.27475387163e-06,2.18811198757e-06,2.14978405419e-06,2.18811198757e-06,2.18811198757e-06,2.16882102889e-06,2.22084036599e-06
'G',0.0129893246769,0.055060512721,0.0169148403704,0.0384592560131,0.0128227952689,0.336876422522,0.0271963872345,0.00209168554994,0.00433289770146,0.0585622882951,0.00855005181158,0.0427319994705,0.00211378857664,0.019231910455,0.00209168554994,0.0175499298387,0.0169148403704,0.00630584912737,0.0150556726963,0.0127141273567,0.0927803871335,0.0340366242038,0.00852272727273,0.0125088915491,2.156101768e-06,2.17522290597e-06,2.16244737144e-06,2.13723164385e-06,2.13723164385e-06,2.21423621029e-06,2.16244737144e-06,2.12478884911e-06,2.27475387163e-06,2.18811198757e-06,2.14978405419e-06,2.18811198757e-06,2.18811198757e-06,2.16882102889e-06,2.22084036599e-06
'JH',0.00433289770146,0.0110159831195,0.00211826534625,0.0341865125557,4.56489685616e-06,0.0129612701019,0.669346192725,0.0354889314973,0.00216879095759,0.0130175009409,4.56489685616e-06,0.0491411146565,4.45008121398e-06,0.0341865125557,0.00417901342165,0.00440189915999,0.00211826534625,0.00420537034177,0.00215477379499,0.00635930761187,1.77910617706e-05,0.0297843080486,1.80949623625e-05,0.233192803484,2.156101768e-06,2.17522290597e-06,2.16244737144e-06,2.13723164385e-06,2.13723164385e-06,2.21423621029e-06,2.16244737144e-06,2.12478884911e-06,2.27475387163e-06,2.18811198757e-06,2.14978405419e-06,2.18811198757e-06,2.18811198757e-06,2.16882102889e-06,2.22084036599e-06
'CH',4.6842137313e-06,0.00220707719919,0.0126872475063,0.00427730835422,0.0149591669976,0.004323532704,0.0397465462995,0.86833275231,4.6842137313e-06,0.00434230334964,0.0064136800829,0.00427730835422,0.00422312707207,0.00214093662554,0.169077915287,0.00440189915999,4.4689142326e-06,4.41277055799e-06,0.00215477379499,4.48786705143e-06,0.00423427270139,1.80949623625e-05,1.80949623625e-05,0.0208365863391,2.156101768e-06,2.17522290597e-06,2.16244737144e-06,2.13723164385e-06,2.13723164385e-06,2.21423621029e-06,2.16244737144e-06,2.12478884911e-06,2.27475387163e-06,2.18811198757e-06,2.14978405419e-06,2.18811198757e-06,2.18811198757e-06,2.16882102889e-06,2.22084036599e-06
'F',0.0844048472244,0.0506560597609,0.0317114153945,0.025641025641,0.0128227952689,0.0302367448976,0.00209606910464,0.00835366916507,0.333277122769,0.0780814828754,0.226459968137,0.0149591669976,0.111799390339,4.56489685616e-06,4.35767822904e-06,0.100820790804,0.0148010439384,4.41277055799e-06,0.040857470499,0.0127141273567,0.00845075434102,1.80949623625e-05,1.80949623625e-05,0.00418119675914,2.156101768e-06,2.17522290597e-06,2.16244737144e-06,2.13723164385e-06,2.13723164385e-06,2.21423621029e-06,2.16244737144e-06,2.12478884911e-06,2.27475387163e-06,2.18811198757e-06,2.14978405419e-06,2.18811198757e-06,2.18811198757e-06,2.16882102889e-06,2.22084036599e-06
'V',0.0129893246769,0.107913948243,0.00423206177827,0.0384592560131,0.0064136800829,0.0950197753815,0.00627945545963,4.35767822904e-06,0.0259739651401,0.338337410613,0.0320501408271,0.119641381703,4.45008121398e-06,0.106823151331,0.00209168554994,0.0306979605175,0.0676459547388,0.018908721841,0.0516082195835,0.0444882260808,0.0590485340165,0.0127750434279,0.0297843080486,0.0416558233141,2.156101768e-06,2.17522290597e-06,2.16244737144e-06,2.13723164385e-06,2.13723164385e-06,2.21423621029e-06,2.16244737144e-06,2.12478884911e-06,2.27475387163e-06,2.18811198757e-06,2.14978405419e-06,2.18811198757e-06,2.18811198757e-06,2.16882102889e-06,2.22084036599e-06
